id	rate
16035	.20
16037	.00
16039	.29
16041	.03
16043	.16
16045	.14
16049	.05
16051	.18
16053	.26
16055	.04
16057	.25
16059	.00
16061	.14
16063	.00
16065	.28
16067	.00
16069	.22
16071	.01
16073	.13
16075	.00
16077	.14
16079	.00
16081	.20
16083	.17
16085	.06
16087	.07
17001	.16
17003	.04
17005	.07
17007	.13
17009	.17
17011	.26
17013	.08
17015	.47
17017	.17
17019	.40
17021	.14
17023	.14
17025	.09
17027	.21
17029	.09
17031	.10
17033	.13
17035	.18
17037	.25
17039	.16
17041	.10
17043	.21
17045	.19
17047	.06
17049	.15
17051	.18
17053	.31
17055	.16
17057	.12
17059	.14
17061	.22
17063	.25
17065	.06
17067	.17
17069	.02
17071	.26
17073	.24
17075	.34
17077	.02
17079	.24
17081	.06
17083	.17
17085	.35
17087	.01
17089	.19
17091	.41
17093	.15
17095	.15
17097	.16
17099	.18
17101	.05
17103	.26
17105	.27
17107	.16
17109	.14
17111	.22
17113	.25
17115	.13
17117	.23
17119	.24
17121	.15
17123	.24
17125	.18
17127	.03
17129	.08
17131	.19
17133	.08
17135	.16
17137	.19
17139	.08
17141	.32
17143	.16
17145	.08
17147	.13
17149	.20
17151	.01
17153	.04
17155	.16
17157	.12
17159	.16
17161	.22
17163	.13
17165	.13
17167	.14
17169	.14
17171	.14
17173	.11
17175	.27
17177	.37
17179	.21
17181	.05
17183	.29
17185	.17
17187	.31
17189	.16
17191	.10
17193	.19
17195	.33
17197	.16
17199	.05
17201	.22
17203	.17
18001	.10
18003	.08
18005	.15
18007	.37
18009	.10
18011	.10
18013	.12
18015	.38
18017	.21
18019	.07
18021	.08
18023	.18
18025	.04
18027	.18
18029	.03
18031	.34
18033	.04
18035	.05
18037	.20
18039	.24
18041	.29
18043	.01
18045	.13
18047	.23
18049	.12
18051	.27
18053	.07
18055	.17
18057	.19
18059	.13
18061	.04
18063	.09
18065	.10
18067	.12
18069	.12
18071	.14
18073	.28
18075	.05
18077	.10
18079	.07
18081	.17
18083	.18
18085	.16
18087	.26
18089	.17
18091	.31
18093	.06
18095	.08
18097	.12
18099	.22
18101	.09
18103	.18
18105	.10
18107	.16
18109	.15
18111	.28
18113	.08
18115	.09
18117	.14
18119	.05
18121	.12
18123	.01
18125	.10
18127	.15
18129	.21
18131	.27
18133	.20
18135	.09
18137	.14
18139	.23
18141	.20
18143	.21
18145	.14
18147	.18
18149	.27
18151	.13
18153	.16
18155	.09
18157	.27
18159	.33
18161	.25
18163	.29
18165	.25
18167	.15
18169	.11
18171	.25
18173	.14
18175	.04
18177	.14
18179	.08
18181	.34
18183	.09
19001	.15
19003	.08
19005	.20
19007	.02
19009	.06
19011	.13
19013	.10
19015	.08
19017	.12
19019	.20
19021	.05
19023	.12
19025	.11
19027	.07
19029	.13
19031	.17
19033	.10
19035	.09
19037	.12
19039	.07
19041	.07
19043	.26
19045	.23
19047	.12
19049	.07
19051	.07
19053	.05
19055	.28
