id, rate
13089, 0.00
13091, 0.34
13093, 0.73
13095, 0.45
13097, 0.00
13099, 0.52
13101, 0.37
13103, 0.43
13105, 0.06
13107, 0.50
13109, 0.34
13111, 0.05
13113, 0.02
13115, 0.12
13117, 0.02
13119, 0.05
13121, 0.01
13123, 0.07
13125, 0.16
13127, 0.01
13129, 0.02
13131, 0.39
13133, 0.01
13135, 0.01
13137, 0.03
13139, 0.02
13141, 0.00
13143, 0.00
13145, 0.04
13147, 0.00
13149, 0.02
13151, 0.03
13153, 0.36
13155, 0.53
13157, 0.00
13159, 0.00
13161, 0.69
13163, 0.29
13165, 0.46
13167, 0.28
13169, 0.04
13171, 0.00
13173, 0.64
13175, 0.24
13177, 0.43
13179, 0.05
13181, 0.00
13183, 0.21
13185, 0.43
13187, 0.08
13189, 0.03
13191, 0.00
13193, 0.38
13195, 0.01
13197, 0.08
13199, 0.04
13201, 0.48
13205, 0.57
13207, 0.04
13209, 0.22
13211, 0.03
13213, 0.03
13215, 0.02
13217, 0.00
13219, 0.09
13221, 0.01
13223, 0.04
13225, 0.46
13227, 0.03
13229, 0.55
13231, 0.11
13233, 0.07
13235, 0.52
13237, 0.00
13239, 0.47
13241, 0.11
13243, 0.35
13245, 0.15
13247, 0.00
13249, 0.21
13251, 0.52
13253, 0.63
13255, 0.00
13257, 0.06
13259, 0.31
13261, 0.55
13263, 0.00
13265, 0.00
13267, 0.38
13269, 0.32
13271, 0.36
13273, 0.43
13275, 0.57
13277, 0.56
13279, 0.36
13281, 0.01
13283, 0.26
13285, 0.05
13287, 0.51
13289, 0.43
13291, 0.07
13293, 0.00
13295, 0.02
13297, 0.06
13299, 0.30
13301, 0.00
13303, 0.23
13305, 0.55
13307, 0.31
13309, 0.22
13311, 0.03
13313, 0.01
13315, 0.51
13317, 0.03
13319, 0.03
13321, 0.55
16001, 0.15
16003, 0.00
16005, 0.06
16007, 0.00
16009, 0.17
16011, 0.24
16013, 0.00
16015, 0.00
16017, 0.02
16019, 0.11
16021, 0.38
16023, 0.05
16025, 0.05
16027, 0.33
16029, 0.02
16031, 0.19
16033, 0.00
16035, 0.20
16037, 0.00
16039, 0.29
16041, 0.03
16043, 0.16
16045, 0.14
16049, 0.05
16051, 0.18
16053, 0.26
16055, 0.04
16057, 0.25
16059, 0.00
16061, 0.14
16063, 0.00
16065, 0.28
16067, 0.00
16069, 0.22
16071, 0.01
16073, 0.13
16075, 0.00
16077, 0.14
16079, 0.00
16081, 0.20
16083, 0.17
16085, 0.06
16087, 0.07
17001, 0.16
17003, 0.04
17005, 0.07
17007, 0.13
17009, 0.17
17011, 0.26
17013, 0.08
17015, 0.47
17017, 0.17
17019, 0.40
17021, 0.14
17023, 0.14
17025, 0.09
17027, 0.21
17029, 0.09
17031, 0.10
17033, 0.13
17035, 0.18
17037, 0.25
17039, 0.16
17041, 0.10
17043, 0.21
17045, 0.19
17047, 0.06
17049, 0.15
17051, 0.18
17053, 0.31
17055, 0.16
17057, 0.12
17059, 0.14
17061, 0.22
17063, 0.25
17065, 0.06
17067, 0.17
17069, 0.02
17071, 0.26
17073, 0.24
17075, 0.34
17077, 0.02
17079, 0.24
17081, 0.06
17083, 0.17
17085, 0.35
17087, 0.01
17089, 0.19
17091, 0.41
17093, 0.15
17095, 0.15
17097, 0.16
17099, 0.18
17101, 0.05
17103, 0.26
17105, 0.27
17107, 0.16
17109, 0.14
17111, 0.22
17113, 0.25
17115, 0.13
17117, 0.23
17119, 0.24
17121, 0.15
17123, 0.24
17125, 0.18
17127, 0.03
17129, 0.08
17131, 0.19
17133, 0.08
17135, 0.16
17137, 0.19
17139, 0.08
17141, 0.32
17143, 0.16
17145, 0.08
17147, 0.13
17149, 0.20
17151, 0.01
17153, 0.04
17155, 0.16
17157, 0.12
17159, 0.16
17161, 0.22
17163, 0.13
17165, 0.13
17167, 0.14
17169, 0.14
17171, 0.14
17173, 0.11
17175, 0.27
17177, 0.37
17179, 0.21
17181, 0.05
17183, 0.29
17185, 0.17
17187, 0.31
17189, 0.16
17191, 0.10
17193, 0.19
17195, 0.33
17197, 0.16
17199, 0.05
17201, 0.22
17203, 0.17
18001, 0.10
